Designator,Mid X,Mid Y,Layer,Rotation
C1,233.3000mm,102.4000mm,Top,270.0
C2,209.3000mm,101.1000mm,Top,270.0
C3,213.0000mm,99.2000mm,Top,270.0
C4,240.8000mm,102.4000mm,Top,270.0
C5,188.1300mm,112.6500mm,Top,90.0
C6,186.6300mm,112.6500mm,Top,90.0
C7,220.6000mm,104.0000mm,Top,270.0
C8,220.6000mm,111.8000mm,Top,270.0
C9,215.5000mm,103.6000mm,Top,0.0
C10,207.4750mm,110.9000mm,Top,180.0
C11,215.2000mm,111.3000mm,Top,180.0
C12,193.6300mm,112.6500mm,Top,270.0
C13,211.5000mm,99.2000mm,Top,270.0
D2,224.3000mm,108.9500mm,Top,0.0
D3,202.0000mm,104.4500mm,Bottom,90.0
D4,201.2000mm,106.9000mm,Top,90.0
D5,228.7000mm,108.9500mm,Top,0.0
D6,215.8000mm,106.4000mm,Top,0.0
D7,233.7375mm,108.9500mm,Top,0.0
D8,238.4375mm,108.9500mm,Top,0.0
J1,202.4300mm,100.1000mm,Top,180.0
L1,211.9000mm,101.9000mm,Top,0.0
Q1,226.3000mm,102.3000mm,Bottom,180.0
Q2,226.3000mm,110.3000mm,Bottom,180.0
R3,211.4000mm,109.3000mm,Top,90.0
R4,207.5000mm,112.8000mm,Top,180.0
R5,223.1000mm,98.4000mm,Bottom,0.0
R6,223.1000mm,106.3000mm,Bottom,0.0
R7,220.6000mm,101.0000mm,Top,270.0
R8,220.6000mm,108.8000mm,Top,270.0
R9,207.7000mm,101.2000mm,Bottom,270.0
R10,192.1000mm,105.9000mm,Bottom,180.0
R11,201.0000mm,104.5000mm,Top,180.0
R12,209.9000mm,103.6000mm,Top,0.0
R13,219.1000mm,100.8750mm,Top,270.0
R14,192.1300mm,112.6500mm,Top,90.0
R15,197.1000mm,99.1500mm,Top,270.0
R16,197.1000mm,102.1000mm,Top,90.0
R17,189.7300mm,112.6500mm,Top,90.0
R18,198.5000mm,111.3000mm,Top,180.0
R19,198.5000mm,109.3000mm,Top,180.0
R20,197.2725mm,106.9099mm,Top,90.0
R21,242.3000mm,109.0000mm,Top,0.0
R23,198.8000mm,106.9000mm,Top,90.0
SW1,191.8500mm,100.9000mm,Bottom,0.0
SW2,191.9000mm,110.8000mm,Bottom,0.0
U1,216.0000mm,100.9500mm,Top,0.0
U3,203.7000mm,111.9000mm,Top,0.0
U4,211.4000mm,112.1000mm,Top,0.0
U5,215.2000mm,102.0075mm,Bottom,90.0
U6,215.2000mm,110.3150mm,Bottom,90.0
U7,190.4800mm,104.5200mm,Top,90.0
U8,225.4000mm,102.2075mm,Top,90.0
